model_size,checkpoint,topic,split,value,overall_accuracy,metric,total_pairs,file,ckpt_pos
pythia-6_9b,,distractor_agreement_relational,avg,89.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,distractor_agreement_relational,max,89.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,distractor_agreement_relative,clause,82.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,distractor_agreement_relative,avg,82.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,distractor_agreement_relative,max,82.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,drop,argument,80.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,drop,avg,80.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,drop,max,80.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,ellipsis_n_bar,1,86.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,ellipsis_n_bar,2,90.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,ellipsis_n_bar,avg,88.19999999999999,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,ellipsis_n_bar,max,90.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_object,raising,88.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_object,avg,88.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_object,max,88.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_quantifiers,1,97.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_quantifiers,2,51.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
